date,all_oi_usd,btc_oi_usd,eth_oi_usd,others_oi_usd,btc_pct,eth_pct,others_pct,market_count
2022-03-11,2498251790.329572,1390268444.126606,499402627.75,608580718.4529662,55.64965267,19.99008385,24.36026348,100
2022-03-12,2588072921.47848,1450353236.5,524180473.268,613539211.7104799,56.0398907,20.25369799,23.70641131,100
2022-03-13,2602435756.7940593,1437790042.856,530709595.125,633936118.8130593,55.24785921,20.39280292,24.35933787,100
2022-03-14,2632297149.644754,1470219081.0332446,541538211.075,620539857.5365093,55.85308183,20.57283735,23.57408082,100
2022-03-15,2667123607.091437,1492239599.3,526824077.584,648059930.2074369,55.9493979,19.75251826,24.29808384,100
2022-03-16,2747874573.348051,1536934460.3066072,546767761.5780001,664172351.4634438,55.9317545,19.89784275,24.17040275,101
2022-03-17,2828775253.048678,1534805556.9559999,586517745.3605,707451950.7321781,54.25689281,20.73398177,25.00912541,101
2022-03-18,2959575890.6131873,1604227817.1195912,634296069.38,721052004.1135961,54.20465217,21.43199204,24.36335579,101
2022-03-19,3106147508.951073,1694744122.093,664885013.0,746518373.8580732,54.56096715,21.40545518,24.03357766,102
2022-03-20,3209450093.6162744,1753437423.434,665712449.9,790300220.2822744,54.6335781,20.74225897,24.62416293,104
2022-03-21,3096042523.058323,1676328091.5715873,630715787.3870001,788998644.0997355,54.14422054,20.37167716,25.48410231,104
2022-03-22,3144530594.807821,1704913699.6690001,642458163.5755,797158731.5633206,54.21838485,20.43097194,25.35064321,104
2022-03-23,3234814471.159757,1713189659.7720766,665343015.9514999,856281795.4361806,52.96098664,20.56819709,26.47081627,104
2022-03-24,3211263884.64017,1656047174.1585715,647729775.4005,907486935.0810986,51.56994983,20.17055585,28.25949432,105
2022-03-25,3542741102.5282693,1924087074.0184999,671443099.6140001,947210928.8957694,54.3106882,18.95264373,26.73666806,105
2022-03-26,3585662814.3969254,1995874304.558,668251358.954,921537150.8849254,55.66263221,18.6367596,25.70060819,106
2022-03-27,3658442942.2429695,2009100108.8309999,674371399.0515001,974971434.3604696,54.91680861,18.43329006,26.64990133,106
2022-03-28,3727378041.4597187,2030448209.647,674355438.3840001,1022574393.4287186,54.47390061,18.09195179,27.4341476,106
2022-03-29,3712124067.640187,2049236227.4980001,671193163.04,991694677.1021867,55.20387223,18.08110803,26.71501973,107
2022-03-30,3766116265.8715005,2013977141.353,705195944.5799999,1046943179.9385006,53.47623385,18.72475237,27.79901379,107
2022-03-31,3862179040.9681478,2040564415.35,714455458.2360001,1107159167.3821478,52.83453702,18.49876587,28.66669711,107
2022-04-01,3741604777.4983993,1978010869.559,719756536.4375,1043837371.5018992,52.86530746,19.23657305,27.89811949,107
2022-04-02,3706202081.7954693,1921117007.512,714732630.1500001,1070352444.1334691,51.83519315,19.28477224,28.88003462,108
2022-04-03,3672394258.29481,1880302250.38,722942307.8959999,1069149700.0188098,51.20099091,19.6858577,29.11315139,108
2022-04-04,3771864721.2561097,1919019645.207,745431294.822,1107413781.2271097,50.87721292,19.76293823,29.35984886,108
2022-04-05,3839545053.8496556,1984625029.7665002,761390214.6825,1093529809.4006553,51.68906737,19.83021957,28.48071305,109
2022-04-06,3842118437.0612664,2003603474.9905,778283981.5675,1060230980.5032665,52.14840479,20.25663691,27.5949583,109
2022-04-07,3451558288.7145586,1821396875.071,711410360.0220001,918751053.6215584,52.77027715,20.61128049,26.61844236,109
2022-04-08,3532206239.0723906,1857361449.3379998,717941093.0225,956903696.7118907,52.58360706,20.32557117,27.09082177,111
2022-04-09,3428096521.5540266,1805214901.3140001,690297213.1800001,932584407.0600264,52.65939538,20.13645791,27.20414671,112
2022-04-10,3541957915.4936514,1877799619.9285002,700050238.4275,964108057.1376512,53.01586481,19.76449905,27.21963615,112
2022-04-11,3529481913.5393987,1847508837.754,724752938.235,957220137.5503987,52.34504335,20.53425845,27.12069819,112
2022-04-12,3213849868.672257,1676579168.368,679466848.9514999,857803851.352757,52.16731449,21.14183539,26.69085011,112
2022-04-13,3270385803.9252515,1735301794.486,656050025.228,879033984.2112514,53.06107287,20.06032513,26.878602,112
2022-04-14,3401237364.0727987,1810976101.624,659115433.74,931145828.7087986,53.24462564,19.37869555,27.37667881,115
2022-04-15,3398925881.42679,1805093432.268,684979632.966,908852816.1927904,53.10776096,20.15282642,26.73941262,115
2022-04-16,3368861706.2457504,1772445621.5845,660512281.98,935903802.6812503,52.61259666,19.60639348,27.78100986,115
2022-04-17,3389876470.22126,1795159760.4735003,649778779.503,944937930.2447598,52.95649491,19.1682141,27.87529099,115
